ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,score
300104.SZ,2020-7-20,0.18,0.19,0.17,0.18,0.18,0,0,1212074.41,21559.614,0.5
300104.SZ,2020-7-17,0.17,0.19,0.17,0.18,0.17,0.01,5.8824,941015.01,16732.158,0.5
300104.SZ,2020-7-16,0.18,0.18,0.17,0.17,0.18,-0.01,-5.5556,682341.18,11941.479,0.5
300104.SZ,2020-7-15,0.19,0.2,0.17,0.18,0.19,-0.01,-5.2632,1057021.01,18945.815,0.5
300104.SZ,2020-7-14,0.21,0.22,0.19,0.19,0.21,-0.02,-9.5238,1368605.8,27054.797,0.5
300104.SZ,2020-7-13,0.23,0.24,0.21,0.21,0.22,-0.01,-4.5455,1299408.93,28772.682,0.5
300104.SZ,2020-7-10,0.2,0.22,0.2,0.22,0.2,0.02,10,1098287.38,23539.824,0.5
300104.SZ,2020-7-9,0.19,0.21,0.18,0.2,0.19,0.01,5.2632,1236361.4,24478.377,0.5
300104.SZ,2020-7-8,0.19,0.2,0.18,0.19,0.19,0,0,1214358.68,22739.692,0.5
300104.SZ,2020-7-7,0.2,0.21,0.19,0.19,0.21,-0.02,-9.5238,2174366.29,42340.327,0.5
300104.SZ,2020-7-6,0.21,0.22,0.21,0.21,0.23,-0.02,-8.6957,1056759.55,22213.962,0.5
300104.SZ,2020-7-3,0.23,0.25,0.23,0.23,0.26,-0.03,-11.5385,1249274,29033.702,0.5
300104.SZ,2020-7-2,0.26,0.29,0.26,0.26,0.29,-0.03,-10.3448,5301117.33,138221.779,0.5
300104.SZ,2020-7-1,0.29,0.29,0.29,0.29,0.32,-0.03,-9.375,60820,1763.78,0.5
300104.SZ,2020-6-30,0.32,0.32,0.32,0.32,0.35,-0.03,-8.5714,96336,3082.752,0.5
300104.SZ,2020-6-29,0.35,0.35,0.35,0.35,0.39,-0.04,-10.2564,41507,1452.745,0.5
300104.SZ,2020-6-24,0.39,0.39,0.39,0.39,0.43,-0.04,-9.3023,38892,1516.788,0.5
300104.SZ,2020-6-23,0.43,0.43,0.43,0.43,0.48,-0.05,-10.4167,40512,1742.016,0.5
300104.SZ,2020-6-22,0.48,0.48,0.48,0.48,0.53,-0.05,-9.434,8083,387.984,0.5
300104.SZ,2020-6-19,0.53,0.53,0.53,0.53,0.59,-0.06,-10.1695,13578,719.634,0.5
300104.SZ,2020-6-18,0.59,0.59,0.59,0.59,0.66,-0.07,-10.6061,4184,246.856,0.5
300104.SZ,2020-6-17,0.66,0.66,0.66,0.66,0.73,-0.07,-9.589,13089,863.874,0.5
300104.SZ,2020-6-16,0.73,0.73,0.73,0.73,0.81,-0.08,-9.8765,28909,2110.357,0.5
300104.SZ,2020-6-15,0.81,0.81,0.81,0.81,0.9,-0.09,-10,21666,1754.946,0.5
300104.SZ,2020-6-12,0.9,0.9,0.9,0.9,1,-0.1,-10,10737,966.33,0.5
300104.SZ,2020-6-11,1,1,1,1,1.11,-0.11,-9.9099,4496,449.6,0.5
300104.SZ,2020-6-10,1.11,1.11,1.11,1.11,1.23,-0.12,-9.7561,1047,116.217,0.5
300104.SZ,2020-6-9,1.23,1.23,1.23,1.23,1.37,-0.14,-10.219,4956,609.588,0.5
300104.SZ,2020-6-8,1.37,1.37,1.37,1.37,1.52,-0.15,-9.8684,660,90.42,0.5
300104.SZ,2020-6-5,1.52,1.52,1.52,1.52,1.69,-0.17,-10.0592,7164,1088.928,0.5
300104.SZ,2019-4-25,1.65,1.8,1.65,1.69,1.83,-0.14,-7.6503,5530532.31,937206.982,0.5
300104.SZ,2019-4-24,1.83,1.83,1.83,1.83,2.03,-0.2,-9.8522,409241,74891.103,0.5
300104.SZ,2019-4-23,2.03,2.03,2.03,2.03,2.26,-0.23,-10.177,630370,127965.11,0.5
300104.SZ,2019-4-22,2.26,2.35,2.26,2.26,2.51,-0.25,-9.9602,2720039.83,620307.229,0.5
300104.SZ,2019-4-19,2.56,2.57,2.48,2.51,2.53,-0.02,-0.7905,1045456.46,262011.019,0.5
300104.SZ,2019-4-18,2.5,2.63,2.48,2.53,2.5,0.03,1.2,1640140.38,419553.157,0.5
300104.SZ,2019-4-17,2.48,2.53,2.46,2.5,2.52,-0.02,-0.7937,1261449.92,314738.194,0.5
300104.SZ,2019-4-16,2.51,2.53,2.43,2.52,2.56,-0.04,-1.5625,1634583.09,405058.209,0.5
300104.SZ,2019-4-15,2.67,2.69,2.56,2.56,2.61,-0.05,-1.9157,1430508.25,373772.354,0.5
300104.SZ,2019-4-12,2.61,2.65,2.59,2.61,2.62,-0.01,-0.3817,990894.7,259121.177,0.5
300104.SZ,2019-4-11,2.6,2.67,2.55,2.62,2.6,0.02,0.7692,1567743.68,407922.379,0.5
300104.SZ,2019-4-10,2.64,2.65,2.52,2.6,2.67,-0.07,-2.6217,1640576.73,426086.598,0.5
